ProductionKey,ProductionRecordID,ProductionDateKey,ProductKey,Factory,ProductionLine,Shift,PlannedQuantity,ActualQuantity,DefectQuantity,YieldRate,WorkHours,DowntimeMinutes
1,MFG-00001,20250124,20,本社工場,ライン-E,夜勤,500,476,24,0.9526,10.4,8
2,MFG-00002,20251027,16,九州工場,ライン-B,日勤,500,489,11,0.9795,5.3,10
3,MFG-00003,20260120,17,第二工場,ライン-C,夜勤,100,97,3,0.9752,7.9,7
4,MFG-00004,20250518,19,九州工場,ライン-D,日勤,100,97,3,0.9717,5.9,6
5,MFG-00005,20250713,19,第二工場,ライン-B,夜勤,200,190,10,0.954,7.6,9
6,MFG-00006,20250122,15,九州工場,ライン-E,夜勤,200,193,7,0.9696,10.4,6
7,MFG-00007,20250113,6,本社工場,ライン-D,夜勤,10,9,1,0.9904,8.1,4
8,MFG-00008,20250427,4,本社工場,ライン-A,夜勤,50,47,3,0.9594,6.6,10
9,MFG-00009,20260309,9,九州工場,ライン-B,日勤,1000,985,15,0.9855,11.3,91
10,MFG-00010,20250525,12,第二工場,ライン-D,日勤,10,9,1,0.9572,7.2,3
11,MFG-00011,20250831,8,九州工場,ライン-E,夜勤,500,494,6,0.988,6.5,6
12,MFG-00012,20250418,15,九州工場,ライン-D,日勤,200,191,9,0.9562,11.5,105
13,MFG-00013,20250623,8,第二工場,ライン-D,夜勤,500,482,18,0.9644,8.7,0
14,MFG-00014,20250313,5,九州工場,ライン-C,夜勤,1000,968,32,0.9688,8.3,1
15,MFG-00015,20250618,19,九州工場,ライン-D,夜勤,50,48,2,0.9765,4.3,7
16,MFG-00016,20250114,6,本社工場,ライン-B,夜勤,5,4,1,0.9534,4.5,2
17,MFG-00017,20250617,14,本社工場,ライン-D,日勤,10,9,1,0.9687,11.2,3
18,MFG-00018,20250608,14,本社工場,ライン-D,夜勤,10,9,1,0.9632,4.1,1
19,MFG-00019,20260227,13,本社工場,ライン-E,夜勤,20,19,1,0.9777,9.9,7
20,MFG-00020,20250627,10,九州工場,ライン-D,日勤,200,195,5,0.9797,7.5,10
21,MFG-00021,20250404,19,第二工場,ライン-A,日勤,100,96,4,0.9631,9.0,1
22,MFG-00022,20251224,7,第二工場,ライン-D,日勤,5,4,1,0.9868,6.6,4
23,MFG-00023,20250417,17,第二工場,ライン-A,日勤,50,49,1,0.986,7.0,3
24,MFG-00024,20250723,2,第二工場,ライン-A,日勤,500,491,9,0.9822,7.7,1
25,MFG-00025,20251008,8,本社工場,ライン-D,夜勤,500,479,21,0.9582,4.1,4
26,MFG-00026,20250305,18,本社工場,ライン-D,日勤,500,395,105,0.791,7.5,0
27,MFG-00027,20251212,18,第二工場,ライン-B,日勤,500,490,10,0.9808,9.7,6
28,MFG-00028,20251220,10,本社工場,ライン-D,日勤,50,47,3,0.9597,6.0,3
29,MFG-00029,20250216,1,本社工場,ライン-D,日勤,100,98,2,0.9821,5.8,10
30,MFG-00030,20250327,6,第二工場,ライン-A,日勤,10,9,1,0.98,11.5,6
